BROKERTITLE,TYPE,PRICE,BEDS,BATH,ADDRESS,STATE,LOCALITY,SUBLOCALITY,STREET_NAME
Brokered by Progress Realty Inc.,Multi-family home for sale,999000,6,2,851 Van Nest Ave,"Bronx, NY 10462",New York,Bronx County,The Bronx
Brokered by COMPASS,Co-op for sale,399000,1,1,34-41 85th St Unit 3U,"Jackson Heights, NY 11372",Queens County,Queens,Flushing
Brokered by Staten Island Premiere Properties,Contingent,599000,4,4,77 Harbour Ct,"Staten Island, NY 10308",New York,Richmond County,Staten Island
"Brokered by Dynasty Real Estate, Inc.",Townhouse for sale,699998,3,2,159 Freedom Ave,"Staten Island, NY 10314",New York,Richmond County,Staten Island
Brokered by Daniel Gale Sotheby's International Realty,Co-op for sale,1088000,5,2,20 Continental Ave Unit 5EF,"Forest Hills, NY 11375",Queens County,Queens,Flushing
Brokered by WW Realty Group Inc,House for sale,999000,6,2,3426 Boller Ave,"Bronx, NY 10475",New York,Bronx County,The Bronx
Brokered by New York Realty Minimax,Multi-family home for sale,1188888,15,9,677 Grandview Ave,"Ridgewood, NY 11385",New York,Queens County,Queens
Brokered by NextHome Residential,Co-op for sale,265000,1,1,23-45 Bell Blvd Unit 5K,"Bayside, NY 11360",Queens County,Queens,Bayside
"Brokered by MAXIMILLION REALTY, INC.",Co-op for sale,288000,1,1,3901 Nostrand Ave Apt 4C,"Brooklyn, NY 11235",Kings County,Brooklyn,Sheepshead Bay
Brokered by COMPASS,Co-op for sale,999995,3,2,205 E 63rd St Unit 11EF,"Manhattan, NY 10065",New York County,New York,Manhattan
Brokered by Corcoran East Side,Co-op for sale,1495000,2,2,200 E 74th St Apt 6B,"New York, NY 10021",New York County,New York,Manhattan
Brokered by Corcoran Park Avenue South,Co-op for sale,925000,1,1,235 E 73rd St # 4B,"New York, NY 10021",New York County,New York,Manhattan
Brokered by Realty Connect USA LLC,Co-op for sale,349000,2,1,84-70 129 St N Unit 5U,"Kew Gardens, NY 11415",Queens County,Queens,Jamaica
Brokered by AI Realty Brokerage LLC,Condo for sale,2000000,4,4,444 E 57th St Apt 2D,"New York, NY 10022",New York County,New York,Manhattan
Brokered by Century 21 Realty First,Condo for sale,839000,3,2,8895 26th Ave Apt 5A,"Brooklyn, NY 11214",New York,Kings County,Brooklyn
Brokered by Platinum Properties of Long Island,Co-op for sale,329000,1,1,111-39 76th Rd Unit E6,"Forest Hills, NY 11375",Queens County,Queens,Forest Hills
Brokered by Keller Williams Hudson Valley,Multi-family home for sale,899000,6,3,948 E 217th St,"Bronx, NY 10469",New York,Bronx County,The Bronx
Brokered by Citadel Circle Realty,House for sale,615000,3,2,534 Powell St,"Brownville, NY 11212",New York,Kings County,Brooklyn
Brokered by Sotheby's International Realty - Downtown Manhattan,Condo for sale,800000,2,2,309 E 108th St Apt 5F,"New York, NY 10029",New York County,New York,Manhattan
Brokered by Coldwell Banker Advantage,Condo for sale,430000,2,2,527 Willow Rd E Unit 2,"Staten Island, NY 10314",Richmond County,Staten Island,Mid Island
Brokered by Jessica Viola,Contingent,499000,3,2,625 Goethals Rd N,"Staten Island, NY 10314",New York,Richmond County,Staten Island
Brokered by Keller Williams Realty Liberty,Co-op for sale,439500,3,2,83-80 118th St Unit 3O,"Kew Gardens, NY 11415",Queens County,Queens,Kew Gardens
Brokered by Prime Properties Long Island,Co-op for sale,299000,1,1,118-18 Union Tpke Unit 17G,"Kew Gardens, NY 11415",Queens County,Queens,Kew Gardens
Brokered by RE MAX Distinguished Homes & Properties,Condo for sale,200000,1,1,1700 Metropolitan Ave Apt Mh,"Bronx, NY 10462",New York,Bronx County,The Bronx
Brokered by Oxford Property Group,Co-op for sale,425000,3,1,504 W 135th St Apt 1B,"New York, NY 10031",New York County,New York,Manhattan
Brokered by BESMATCH REAL ESTATE,Co-op for sale,69000,1,1,1185 Anderson Ave Apt 2E,"Bronx, NY 10452",Bronx County,The Bronx,Highbridge
Brokered by Corcoran West Side Gallery,Condo for sale,1995000,3,2,272 W 107th St Apt 8D,"New York, NY 10025",New York County,New York,Manhattan
Brokered by COMPASS,Co-op for sale,230000,1,1,255 W 108th St Apt 1F,"Manhattan, NY 10025",New York County,New York,Manhattan
Brokered by Crifasi Real Estate Inc,Co-op for sale,220000,1,1,82-35 134th St Unit 2D,"Briarwood, NY 11435",Queens County,Queens,Jamaica
Brokered by E Realty International Corp,Co-op for sale,198000,3,1,42-40 Bowne St Unit 6F,"Flushing, NY 11355",Queens County,Queens,Flushing
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op for sale,1495000,1,2,48 Gramercy Park N Apt 1B,"Manhattan, NY 10010",New York County,New York,Manhattan
Brokered by Corcoran West Side,Co-op for sale,475000,1,1,520 E 90th St Apt 1L,"New York, NY 10128",New York County,New York,Manhattan
Brokered by Rad Marketing Corp,Co-op for sale,199900,2,1,234-04 131 Ave Unit 2,"Rosedale, NY 11422",Queens County,Queens,Rosedale
Brokered by Joanne Costa Realty,House for sale,1150000,2,2,91 Flagg Ct,"Staten Island, NY 10304",New York,Richmond County,Staten Island
Brokered by Corcoran Park Slope,House for sale,1575000,3,2,530 4th St,"Brooklyn, NY 11215",New York,Kings County,Brooklyn
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Co-op for sale,229000,1,1,33-05 92nd St Unit 1B,"Jackson Heights, NY 11372",Queens County,Queens,Jackson Heights
Brokered by Corcoran SoHo,For sale,2700000,8,4,122 Willoughby Ave,"Brooklyn, NY 11205",New York,Kings County,Brooklyn
Brokered by C J Robin's Real Estate,Condo for sale,320000,2,2,1860 Story Ave Unit 36C,"Bronx, NY 10473",Bronx County,The Bronx,East Bronx
Brokered by RE MAX Edge,Co-op for sale,295000,2,1,1275 E 5th St Apt 6A,"Brooklyn, NY 11230",Kings County,Brooklyn,Midwood
Brokered by Spire Group Inc.- Main Office,House for sale,550000,3,2,4211 Snyder Ave,"Brooklyn, NY 11203",New York,Kings County,Brooklyn
Brokered by Serhant,Condo for sale,285000,2,1,1439 Metropolitan Ave Apt 6A,"Bronx, NY 10462",Bronx County,The Bronx,Parkchester
Brokered by Voro Llc,Co-op for sale,328000,1,1,83-30 Vietor Ave Unit 414,"Elmhurst, NY 11373",Queens County,Queens,Flushing
Brokered by Skylux Realty,Multi-family home for sale,1388000,4,3,25-02 169th St,"Flushing, NY 11358",New York,Queens County,Queens
Brokered by EXP Realty,Multi-family home for sale,3000000,10,10,120 Pierrepont St,"Brooklyn Heights, NY 11201",New York,Kings County,Brooklyn
Brokered by New York Realty Minimax,Multi-family home for sale,2198888,7,6,662 Seneca Ave,"Ridgewood, NY 11385",New York,Queens County,Queens
Brokered by Howard Hanna | Rand Realty,Multi-family home for sale,650000,6,2,936 Taylor Ave,"Bronx, NY 10473",New York,Bronx County,The Bronx
Brokered by Corcoran Park Avenue South,Condo for sale,1100000,1,2,247 W 46th St Apt 1506,"New York, NY 10036",New York County,New York,Manhattan
Brokered by Gosen Properties Inc,Townhouse for sale,2649000,5,4,282 Macon St,"Brooklyn, NY 11216",New York,Kings County,Brooklyn
Brokered by Corcoran Park Slope,Co-op for sale,849000,2,1,299 13th St Apt 3D,"Brooklyn, NY 11215",Kings County,Brooklyn,Park Slope
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,For sale,6500000,2,2,995 Fifth Ave Apt 11N,"New York, NY 10028",New York County,New York,Manhattan
Brokered by HOULIHAN LAWRENCE - LaGrangeville,Co-op for sale,560000,3,1,165 W End Ave Apt 16C,"New York, NY 10023",New York County,New York,Manhattan
Brokered by RE MAX Elite,Co-op for sale,418888,2,1,946 59th St Apt 4B,"Brooklyn, NY 11219",Kings County,Brooklyn,Borough Park
Brokered by RE MAX Real Estate Professionals,Multi-family home for sale,2600000,3,3,99 Bay 11th St,"Brooklyn, NY 11228",New York,Kings County,Brooklyn
Brokered by Velez Realty Corp,Multi-family home for sale,899000,8,2,3214 Seymour Ave,"Bronx, NY 10469",New York,Bronx County,The Bronx
Brokered by CENTURY 21 Dawn's Gold Realty,Multi-family home for sale,979000,8,3,309 E 96th St,"Brooklyn, NY 11212",New York,Kings County,Brooklyn
Brokered by Sbny Re,Co-op for sale,199000,1,1,67-38 108 St Unit D5,"Forest Hills, NY 11375",Queens County,Queens,Forest Hills
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,For sale,815000,3,1,310 E 46th St Apt 6S,"New York, NY 10017",New York County,New York,Manhattan
Brokered by Signature Premier Properties,Condo for sale,1025000,1,1,460 E 79th St Apt 9F,"New York, NY 10075",New York County,New York,Manhattan
Brokered by COMPASS,Condo for sale,1375000,1,2,188 E 64th St Apt 802,"Manhattan, NY 10065",New York County,New York,Manhattan
Brokered by Keller Williams NYC,Condo for sale,875000,3,2,105 Bennett Ave Apt 21A,"New York, NY 10033",New York County,New York,Manhattan
"Brokered by MAXIMILLION REALTY, INC.",Multi-family home for sale,1350000,6,3,2535 E 24th St,"Brooklyn, NY 11235",New York,Kings County,Brooklyn
Brokered by Corcoran Williamsburg Bedford,For sale,989000,7,3,1408 Remsen Ave,"Brooklyn, NY 11236",New York,Kings County,Brooklyn
Brokered by Scott Dobrin Realty,Multi-family home for sale,815156,4,4,156 Davis Ave,"Staten Island, NY 10310",New York,Richmond County,Staten Island
Brokered by Momentum Real Estate Llc,Multi-family home for sale,1949000,3,5,11 Brighton 10th Path,"Brooklyn, NY 11235",New York,Kings County,Brooklyn
Brokered by Redfin Real Estate,Multi-family home for sale,669000,5,2,418 Beach 37th St,"Far Rockaway, NY 11691",New York,Queens County,Queens
Brokered by Fillmore Real Estate,Multi-family home for sale,900500,4,2,10716 Avenue J,"Brooklyn, NY 11236",New York,Kings County,Brooklyn
"Brokered by CLAS - Classic Marketing, LLC",Co-op for sale,1465000,3,3,215 E 73rd St Unit 4A,"New York, NY 10021",New York County,New York,Manhattan
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,For sale,899000,3,1,529 W 42nd St Apt 2G,"New York, NY 10036",New York County,New York,Manhattan
Brokered by COMPASS,Condo for sale,1100000,1,1,88 Greenwich St Apt 2307,"Manhattan, NY 10006",New York County,New York,Manhattan
"Brokered by Century 21 Amiable Realty Group II, Inc.",Multi-family home for sale,1199000,6,5,151-42 82nd St,"Howard Beach, NY 11414",New York,Queens County,Queens
Brokered by Corcoran Chelsea/Flatiron,For sale,325000,2,1,12 W 107th St Apt 2B,"New York, NY 10025",New York County,New York,Manhattan
Brokered by Coldwell Banker American Homes,Multi-family home for sale,599000,4,3,3100 Richmond Ter,"Staten Island, NY 10303",United States,New York,Richmond County
Brokered by New York Realty Minimax,Multi-family home for sale,1230000,4,3,74-06 64th Ln,"Ridgewood, NY 11385",New York,Queens County,Queens
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op for sale,3950000,3,3,2 Sutton Pl S Apt 19F,"Manhattan, NY 10022",New York County,New York,Manhattan
Brokered by ANNE LOPA REAL ESTATE,House for sale,2147483647,7,6,6659-6675 Amboy Rd,"New York, NY 10309",New York,Richmond County,Staten Island
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Multi-family home for sale,1350000,10,5,188 Richmond St,"Brooklyn, NY 11208",New York,Kings County,Brooklyn
Brokered by OneSpace Realty Group LLC,House for sale,799000,5,3,1124 E 51st St,"Brooklyn, NY 11234",New York,Kings County,Brooklyn
Brokered by Keller Williams Realty Greater Nassau,House for sale,1599000,5,3,1233 Todt Hill Rd,"Staten Island, NY 10304",New York,Richmond County,Staten Island
"Brokered by Robert DeFalco Realty, Inc.",House for sale,1299900,4,4,346 George St,"Staten Island, NY 10307",New York,Richmond County,Staten Island
Brokered by Corcoran Brooklyn Heights,Co-op for sale,370000,1,1,100 Remsen St Apt 3F,"Brooklyn, NY 11201",Kings County,Brooklyn,Brooklyn Heights
Brokered by Living NY - Main Office,For sale,3225,3,1,635 W 170th St Apt 2C,"New York, NY 10032",New York County,New York,Manhattan
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,3649000,3,2,11 W 30th St Apt 11F,"New York, NY 10001",New York County,New York,Manhattan
"Brokered by Empire City Properties, LLC",Multi-family home for sale,860000,5,3,3743 Neptune Ave,"Brooklyn, NY 11224",New York,Kings County,Brooklyn
Brokered by Re/Max Edge,House for sale,765000,3,4,80 Longview Rd,"Staten Island, NY 10304",New York,Richmond County,Staten Island
Brokered by Douglas Elliman - 187 Seventh Ave,Co-op for sale,259000,1,1,3500 Snyder Ave Apt 5N,"Brooklyn, NY 11203",Kings County,Brooklyn,Little Haiti
Brokered by The Turner Realty Group Inc,Multi-family home for sale,1500000,8,3,1601 Nostrand Ave,"Brooklyn, NY 11226",New York,Kings County,Brooklyn
Brokered by Brown Harris Stevens,Condo for sale,850000,2,2,340 Cabrini Blvd Apt 501,"Manhattan, NY 10040",New York County,New York,Manhattan
Brokered by Living NY - Main Office,For sale,2494,2,1,635 W 170th St Apt 4F,"New York, NY 10032",New York County,New York,Manhattan
Brokered by 5 Boro Realty Corp,Condo for sale,99000,1,1,1368 E 92nd St Unit 300,"Brooklyn, NY 11236",Kings County,Brooklyn,Canarsie
Brokered by Douglas Elliman - 1410 Cortelyou Rd,Co-op for sale,535000,1,1,192 E 8th St Apt 1C,"Brooklyn, NY 11218",Kings County,Brooklyn,Kensington
Brokered by Coldwell Banker Advantage,Multi-family home for sale,849998,4,2,358 Lamoka Ave,"Staten Island, NY 10312",New York,Richmond County,Staten Island
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,For sale,1100000,2,2,2235 Frederick Douglass Blvd Apt 7K,"New York, NY 10027",New York County,New York,Manhattan
Brokered by SkyLimit Realty Group,Multi-family home for sale,998000,5,3,60-17 59th Ave,"Maspeth, NY 11378",New York,Queens County,Queens
Brokered by CENTURY 21 Achievers,Multi-family home for sale,1500000,3,2,3115 Glenwood Rd,"Brooklyn, NY 11210",New York,Kings County,Brooklyn
Brokered by New Concept Sheiks Realty Inc.,Multi-family home for sale,875000,6,3,1779 Edenwald Ave,"Bronx, NY 10466",New York,Bronx County,The Bronx
Brokered by COMPASS,Condo for sale,2350000,1,2,456 W 19th St Units 4 & 5C,"Manhattan, NY 10011",New York,New York County,New York
Brokered by BESMATCH REAL ESTATE,Multi-family home for sale,850000,5,2,4346 Edson Ave,"Bronx, NY 10466",New York,Bronx County,The Bronx
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,1200000,3,2,955 Lexington Ave Unit 5C,"New York, NY 10021",New York County,New York,Manhattan
Brokered by Serhant,Condo for sale,12000000,4,4,67 Franklin St # A,"New York, NY 10013",New York,New York County,New York
Brokered by CHRISTIE'S INT.REAL ESTATE GROUP,Co-op for sale,1300000,2,2,269 W 87th St Apt 6C,"New York, NY 10024",New York County,New York,Manhattan
"Brokered by Nest Seekers International, Westside",For sale,799000,3,1,240 Riverside Blvd Apt 3P,"New York, NY 10069",New York County,New York,Manhattan
Brokered by Steven Corcoran Real Estate LLC - Steven Corcoran Real Estate TudorCity.com,Co-op for sale,339000,3,1,314 E 41st St Apt 303B,"New York, NY 10017",New York County,New York,Manhattan
Brokered by RE MAX Distinguished Homes & Properties,Multi-family home for sale,875000,7,5,1126 Ward Ave,"Bronx, NY 10472",New York,Bronx County,The Bronx
Brokered by Keller Williams Realty NYC Grp,Multi-family home for sale,799000,7,2,1341 Fteley Ave,"Bronx, NY 10472",New York,Bronx County,The Bronx
Brokered by Sowae Corp,House for sale,285000,2,1,102-15 215 St,"Queens Village, NY 11429",New York,Queens County,Queens
Brokered by Century 21 AA Realty,Multi-family home for sale,2499000,5,4,181 Park Ave,"Brooklyn, NY 11205",New York,Kings County,Brooklyn
Brokered by Douglas Elliman - 3544 Johnson Ave,Townhouse for sale,795000,4,2,42 Adrian Ave,"New York, NY 10463",New York,New York County,New York
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,1799995,2,2,207 E 74th St Unit 8M,"New York, NY 10021",New York County,New York,Manhattan
"Brokered by Nest Seekers International, Internationa",For sale,5999000,3,3,220 Riverside Blvd Apt 24G,"New York, NY 10069",New York County,New York,Manhattan
Brokered by Douglas Elliman - Franklin Square,Pending,668000,3,2,88-08 Gettysburg St,"Bellerose, NY 11426",New York,Queens County,Queens
Brokered by Hand In Hand Real Estate,House for sale,699900,3,2,102 Lamberts Ln,"Staten Island, NY 10314",New York,Richmond County,Staten Island
Brokered by Brownstone Real Estate LLC - Carroll Gardens,Townhouse for sale,5295000,4,4,75 2nd Pl,"Brooklyn, NY 11231",New York,Kings County,Brooklyn
Brokered by Extell Marketing Group LLC,Condo for sale,2265000,2,2,252 South St Unit 26L,"New York, NY 10002",New York County,New York,Manhattan
Brokered by EXP Realty,Co-op for sale,459000,2,1,142-05 Roosevelt Ave Unit 435,"Flushing, NY 11354",Queens County,Queens,Flushing
Brokered by True North Realty Luxury Homes,House for sale,879000,4,2,87-45 253rd St,"Bellerose, NY 11426",New York,Queens County,Queens
Brokered by Douglas Elliman  -111 Fifth Ave,Condo for sale,559000,1,1,161 E 110th St Apt 6G,"New York, NY 10029",New York,Manhattan,East 110th Street
Brokered by New York Realty Minimax,Multi-family home for sale,869888,4,3,86-27 125th St,"Richmond Hill, NY 11418",New York,Queens County,Queens
Brokered by Keller Williams Rlty Landmark,House for sale,799888,3,2,62-24 65 St,"Middle Village, NY 11379",New York,Queens County,Queens
Brokered by Berkshire Hathaway HomeServices Cangiano Estates,House for sale,749000,4,1,29 Canterbury Ave,"Staten Island, NY 10314",New York,Richmond County,Staten Island
NoBroker,House for sale,499000,2,3,119-44 193rd St,"Saint Albans, NY 11412",New York,Queens County,Queens
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,1295000,3,4,269 W 87th St Apt 7B,"New York, NY 10024",New York County,New York,Manhattan
Brokered by J. Milo Real Estate Ltd,Pending,879900,3,2,640 Sheldon Ave,"Staten Island, NY 10312",New York,Richmond County,Staten Island
Brokered by Corcoran SoHo,Co-op for sale,400000,2,2,8 Magnolia Pl # 8,"Bronx, NY 10465",New York,Bronx County,The Bronx
Brokered by Corcoran Bedford Stuyvesant,Condo for sale,289000,1,1,1065 Vermont St Apt 4G,"Brooklyn, NY 11207",Kings County,Brooklyn,East New York
Brokered by COMPASS,Condo for sale,699000,1,1,435 Tompkins Ave Unit 305,"Brooklyn, NY 11216",Kings County,Brooklyn,Bedford-Stuyvesant
Brokered by Liberty Chateau Realty Inc,Foreclosure,479000,6,2,16 Renfrew Pl,"Staten Island, NY 10303",New York,Richmond County,Staten Island
